ID	D55_130_T1_20181106	D55_130_T1_20180201	D60_130_T1_20181113	D60_130_T1_20180208	D6_130_T1_20181108	D6_130_T1_20180131	D55_PMN_130_T0_20180201	D55_PMN_130_T0_20181106	D60_PMN_130_T0_20180208	D60_PMN_130_T0_20181113	D6_PMN_130_T0_20180131	D6_PMN_130_T0_20181108	D55_PMN_130_T1_20180201	D55_PMN_130_T1_20181106	D60_PMN_130_T1_20180208	D6_PMN_130_T1_20180131	D6_PMN_130_T1_20181108	D55_3X130_T1_20190129	D55_3X130_T1_20180201	D60_3X130_T1_20190305	D60_3X130_T1_20180208	D6_3X130_T1_20180802	D55_PMN_3X130_T0_20180201	D55_PMN_3X130_T0_20190129	D60_PMN_3X130_T0_20180208	D60_PMN_3X130_T0_20190305	D6_PMN_3X130_T0_20180802	D6_PMN_3X130_T0_20190307	D55_PMN_3X130_T1_20190129	D60_PMN_3X130_T1_20180208	D60_PMN_3X130_T1_20190305	D6_PMN_3X130_T1_20180802	D6_PMN_3X130_T1_20190307
Opaless3X_1	1	2	0	4	1	2	4	3	0	0	0	0	0	0	2	0	1	2	3	1	1	0	1	2	1	2	0	3	3	0	1	0	3
Opaless3X_10	180	414	240	123	107	302	138	28	109	70	60	76	48	60	60	48	39	233	355	189	213	242	44	117	97	102	77	82	86	34	43	33	63
Opaless3X_100	979	1620	1384	589	602	1331	1082	328	1111	496	722	856	510	862	571	645	540	1196	1367	1058	812	860	416	910	861	847	784	886	555	263	630	247	1088
Opaless3X_1000	1473	3677	1443	1414	1466	1750	555	392	816	570	335	597	374	549	624	376	552	2084	2717	1275	1590	3136	327	660	625	638	934	583	418	502	415	445	383
Opaless3X_1001	204	426	284	108	65	348	305	88	248	154	178	252	102	208	155	149	192	211	282	154	177	146	166	277	246	245	223	172	129	98	142	90	160
Opaless3X_1002	310	373	360	204	250	283	179	95	259	219	107	152	64	140	212	118	108	302	379	46	226	266	151	245	155	204	231	84	218	122	122	96	78
Opaless3X_1003	110	130	95	78	202	107	31	40	55	28	25	30	32	41	40	26	39	244	103	64	112	76	23	101	48	40	18	10	94	29	33	14	36
Opaless3X_1004	482	1179	700	501	207	830	143	116	354	162	124	146	74	127	337	154	167	773	1477	178	642	860	138	312	195	218	161	102	373	144	80	102	95
Opaless3X_1005	1261	1935	1265	849	768	1317	1083	548	1082	876	647	927	470	719	767	511	669	1251	1809	732	982	1141	597	1174	1037	1066	789	529	660	475	539	333	597
Opaless3X_1006	719	1024	740	353	509	750	55	38	140	34	55	65	73	117	93	86	162	823	1345	517	619	567	32	77	81	90	37	80	114	67	95	37	140
Opaless3X_1007	2	4	4	7	1	4	0	0	0	0	0	0	1	0	3	0	0	3	11	0	21	6	6	0	2	0	1	0	0	0	0	0	1
Opaless3X_1008	458	991	767	302	429	702	164	118	237	112	136	207	138	245	164	137	298	776	951	478	526	762	83	183	227	200	226	141	132	86	123	112	150
Opaless3X_1009	612	492	736	437	373	391	319	63	544	202	182	214	162	212	274	269	235	897	538	734	680	253	281	442	554	346	159	393	312	205	251	68	285
Opaless3X_101	289	350	302	95	168	170	181	53	164	101	103	95	49	160	108	54	68	426	405	323	187	192	49	331	120	161	87	111	114	32	148	22	201
Opaless3X_1010	3105	3630	2517	1988	2676	2588	1113	1062	1436	992	1476	948	897	982	1211	630	971	3580	3767	3455	2558	2128	653	908	1641	1032	934	948	602	846	755	582	767
Opaless3X_1011	3476	5981	3391	2474	2067	4244	3265	1634	2869	2143	2250	2105	1617	1388	1863	1376	1727	3547	4821	2989	2702	3295	1448	2077	3062	2642	2794	2252	1249	1216	1369	1229	1648
Opaless3X_1012	25490	48946	23546	13471	22614	49438	4655	4128	14920	3817	7449	4915	5123	8838	5229	5861	13444	29294	62114	32857	23883	33344	2672	4307	9265	5279	6616	4641	5574	5823	5634	5541	9151
Opaless3X_1013	3216	2897	3761	4133	3984	1995	2018	2380	8913	522	4084	1100	1628	1378	3253	981	2076	8111	3469	5544	3871	2560	1289	2727	7305	1910	1578	2517	2116	3858	1376	910	2789
Opaless3X_1014	5685	10557	5764	4030	3549	7449	3731	1558	4894	2012	2819	3122	2287	2679	2415	2150	3837	6859	9884	6452	5581	6729	1559	2644	4354	3695	2816	2968	1882	1844	1801	1430	2466
Opaless3X_1015	349	745	400	271	387	373	353	318	254	256	266	263	181	305	293	139	267	332	522	263	294	403	95	316	290	242	305	193	146	184	146	142	191
Opaless3X_1016	14	61	23	30	5	30	24	20	43	27	20	16	15	20	28	10	10	26	61	31	26	43	12	32	15	24	36	6	9	13	18	5	8
Opaless3X_1017	404	637	453	279	247	216	554	244	444	836	168	397	193	517	537	293	386	330	556	207	263	379	403	424	483	564	507	295	337	357	464	327	297
Opaless3X_1018	43423	67968	42966	15723	25183	61873	3130	2869	3560	7136	2055	3620	5724	12822	6908	6759	14488	40906	111295	37515	25880	39940	2132	3962	4925	7078	3772	4173	11982	5921	12580	7171	12765
Opaless3X_1019	4091	6411	3620	2505	2783	4613	2188	1704	2419	1876	1859	1941	1495	1468	1659	1495	1475	4087	5926	3515	2809	3355	1022	1735	2944	2357	2420	2038	1107	1259	1380	1076	2094
Opaless3X_102	176	422	305	170	98	335	239	46	300	168	135	219	121	187	168	134	165	302	360	160	237	264	72	214	175	234	218	153	148	45	152	77	199
Opaless3X_1020	13232	16530	10471	5733	10512	14136	4130	3442	3591	4256	3494	4416	3419	4092	3641	2919	4417	15869	18010	8538	8443	9768	2087	2612	4597	3353	4835	2329	3620	2686	3739	3133	4297
Opaless3X_1021	848	2527	1025	1043	404	1980	445	176	610	550	225	465	280	504	447	335	385	1298	2263	586	1116	1651	328	462	575	770	792	497	355	348	321	312	355
Opaless3X_1022	1728	2218	1817	1387	1845	1545	1328	1420	1401	1802	898	1075	720	1106	1496	773	694	1613	1688	1146	1178	1287	733	1441	1236	1226	1434	949	670	873	520	707	634
Opaless3X_1023	2710	4594	2218	2236	1921	3140	1190	1078	1553	2104	705	1442	825	1496	1686	1001	986	2883	4035	1467	2542	2850	1206	1861	1361	1752	1710	715	917	1003	869	870	729
Opaless3X_1024	6079	9519	6164	4016	4233	5762	6370	3248	4789	4570	3600	4784	3164	3501	3907	3340	3238	6616	7776	4582	4789	4619	3297	5761	5890	5654	5180	4113	3199	2805	3603	2377	4234
Opaless3X_1025	9636	21886	9939	5562	5214	15919	3706	1638	3617	2744	2331	3215	2710	2847	2309	2618	2907	9700	20620	7921	8128	10861	1554	2979	4084	3427	3772	3008	2336	1578	2650	2025	4041
Opaless3X_1026	2928	3728	2931	1202	1327	2565	923	267	1114	888	409	1153	653	999	657	581	653	3327	4715	3295	2387	2513	664	1083	927	1562	617	751	752	440	675	347	734
