GeneID	meanlfc
NGO0021	1.643567069
NGO0022	1.819848871
NGO0025	2.346302254
NGO0057	-0.847633916
NGO0168	2.48594125
NGO0169	0.789962103
NGO0170	1.090425441
NGO0186	1.069401655
NGO0217	1.418306601
NGO0250	0.917024186
NGO0340	-0.850326981
NGO0364	-0.423985784
NGO0372	-0.976495861
NGO0373	-1.125460631
NGO0374	-1.25405922
NGO0445	-1.391352135
NGO0446	-1.2635127
NGO0489	0.896244726
NGO0494	-0.576158634
NGO0511	1.005986147
NGO0554	2.31292199
NGO0555	1.276978847
NGO0568	-0.697748861
NGO0574	1.09905389
NGO0606	-1.208999137
NGO0646	0.947348831
NGO0655	0.406936964
NGO0656	1.12549019
NGO0674	1.058057629
NGO0675	0.739247307
NGO0676	0.806357291
NGO0677	0.929051863
NGO0678	1.041250925
NGO0704	-1.107908042
NGO0775	-0.641184447
NGO0844	1.298979727
NGO0845	0.681200123
NGO0848	0.839935815
NGO0850	0.841559346
NGO0863	0.987449238
NGO0880	-0.837308472
NGO0909	-0.618978499
NGO0918	0.950315218
NGO0919	0.822687343
NGO0929	0.279119944
NGO0930	3.003475827
NGO0949	0.780375678
NGO0956	0.986090184
NGO1002	-1.327120566
NGO1024	-1.069820208
NGO1029	2.373482091
NGO1048	0.795234923
NGO1049	1.327575943
NGO1055	1.27375191
NGO1063	0.639691028
NGO1084	1.047423499
NGO1089	0.847931172
NGO1162	-0.529935973
NGO1182	1.801836693
NGO1205	1.947996829
NGO1220	-0.755331748
NGO1248	-0.815681464
NGO1275	-0.603311114
NGO1276	2.056941144
NGO1294	0.775308469
NGO1295	-1.190940466
NGO1297	0.832271571
NGO1301	-0.672993803
NGO1318	1.309638637
NGO1358	1.538303289
NGO1363	-0.4392491
NGO1368	-0.735772821
NGO1377	1.534569057
NGO1378	1.560489324
NGO1379	1.099173426
NGO1449	1.28162331
NGO1466	0.8215629
NGO1473	0.685529067
NGO1494	1.527033545
NGO1495	2.186195705
NGO1496	1.682041553
NGO1565	0.804122241
NGO1566	0.766143592
NGO1567	1.260980256
NGO1568	1.405571422
NGO1588	0.686443095
NGO1600	1.170416753
NGO1614	0.755120815
NGO1646	-0.829839177
NGO1647	-0.733243513
NGO1653	-0.180780366
NGO1717	0.870100619
NGO1767	0.935286285
NGO1769	1.612557983
NGO1779	0.883631811
NGO1804	1.153774458
NGO1931	0.700522827
NGO1944	1.430836122
NGO1945	2.103476742
NGO1946	2.196178248
NGO1948	2.969644373
NGO1962	0.821661601
NGO2011	-0.980287406
NGO2012	-1.358523737
NGO2013	-1.379111164
NGO2014	-1.182124988
NGO2050	1.005531173
NGO2051	0.878616728
NGO2059	3.626178429
NGO2088	1.130748731
NGO2089	1.244907328
NGO2092	0.977830344
NGO2093	2.542551902
NGO2096	1.989927773
NGO2109	1.597146031
NGO2111	1.683381106
NGO2133	1.006297913
