ID	D55_H041_T1_20190110	D55_H041_T1_20180201	D60_H041_T1_20180208	D6_H041_T1_20180131	D55_PMN_H041_T0_20180201	D55_PMN_H041_T0_20190110	D60_PMN_H041_T0_20180208	D60_PMN_H041_T0_20181212	D6_PMN_H041_T0_20180131	D55_PMN_H041_T1_20180201	D55_PMN_H041_T1_20190110	D60_PMN_H041_T1_20181212	D6_PMN_H041_T1_20180131
H041_1	10	40	16	20	47	25	33	38	20	6	10	22	5
H041_10	731	1871	642	1533	837	683	898	867	752	145	494	862	244
H041_100	7178	12268	6632	11370	5455	4357	6409	6444	3590	1195	2877	5256	1649
H041_1000	843	501	307	647	184	266	386	171	154	55	148	184	59
H041_1001	265	491	214	668	93	93	111	66	63	15	50	98	16
H041_1002	493	1676	1275	1294	362	401	803	364	305	82	280	563	148
H041_1003	172	539	550	369	206	211	390	154	167	30	113	159	79
H041_1004	1976	3009	1475	3983	707	852	856	480	577	192	475	588	265
H041_1005	720	564	373	573	149	166	271	209	120	44	139	168	48
H041_1006	5317	16212	7078	14723	1609	1673	3282	1463	1947	446	1552	2179	787
H041_1007	1670	4928	3108	3825	1127	1077	2902	653	856	313	895	782	520
H041_1008	6992	10027	5706	10630	2216	2317	2944	1792	1916	591	1676	2352	914
H041_1009	43220	88406	45583	96251	759	917	2077	385	1452	426	1444	974	975
H041_101	1077	1859	1271	2207	1399	706	1601	1035	557	228	483	887	370
H041_1010	5614	12196	6073	9099	1529	2247	3346	1291	1947	477	1749	1856	556
H041_1011	2927	8660	3785	5366	1811	1992	3382	2193	2289	557	1719	3160	747
H041_1012	727	1780	1212	1087	304	351	637	328	355	56	396	593	106
H041_1013	9058	16838	8983	15948	2606	2735	3640	3606	2584	682	3674	6068	1073
H041_1014	659	2796	1483	1993	407	505	666	358	458	112	301	515	142
H041_1015	682	725	454	640	267	285	469	386	314	49	164	288	65
H041_1016	758	1555	737	1361	1058	721	1185	690	775	203	310	570	259
H041_1017	3389	5653	3029	4750	2604	1709	2460	2381	1688	474	1092	2099	789
H041_1018	163	163	88	175	89	53	85	80	37	10	35	70	32
H041_1019	4295	6412	2596	6249	3838	3511	4137	2989	2240	769	2331	3470	1113
H041_102	443	851	654	733	882	529	1259	731	412	147	361	636	217
H041_1020	1823	3466	1378	2797	1990	1552	2055	1728	1473	434	1450	2051	673
H041_1021	1391	3384	1170	3182	1491	1071	1597	1268	956	336	977	1800	489
H041_1022	3799	7409	2916	6942	2505	1904	2972	2744	1571	563	2044	4148	891
H041_1023	232	317	201	326	262	222	443	286	150	41	266	455	88
H041_1024	265	310	191	218	474	305	667	159	209	76	237	255	102
H041_1025	171	224	154	158	1311	479	1149	667	400	176	248	447	283
H041_1026	574	716	467	568	301	316	457	200	147	67	155	219	56
H041_1027	31	76	9	21	60	53	58	44	52	14	13	34	16
H041_1028	73	150	113	107	120	63	137	101	67	19	23	56	22
H041_1029	52	99	40	80	133	56	123	54	60	12	24	40	23
H041_103	4714	6485	3905	5629	2494	2626	3421	2340	1729	479	1972	2745	627
H041_1030	38	77	48	130	119	70	96	83	84	15	25	65	24
H041_1031	274	337	235	211	372	429	508	396	219	70	137	251	95
H041_1032	253	282	157	264	457	356	581	417	227	42	188	256	90
H041_1033	1297	3165	1328	2290	961	843	1354	928	860	159	454	781	299
H041_1034	15658	23923	15837	19038	6361	6836	10173	6222	5241	1274	4092	6118	2005
H041_1035	8971	11323	7005	9171	2018	2274	2880	2673	2332	325	1534	2381	640
H041_1036	8817	17019	7209	16634	6698	5668	7901	5739	4414	1371	5159	8995	2290
H041_1037	406	1187	390	1198	512	392	489	275	231	73	426	672	178
H041_1038	76	261	92	109	60	65	126	57	98	23	34	49	22
H041_1039	35	151	37	110	68	21	75	14	27	9	11	19	21
H041_104	3291	4858	2908	5071	2245	1533	2613	2072	1247	393	1170	1888	625
H041_1040	457	499	393	273	878	1066	1463	822	1154	150	429	577	225
H041_1041	201	221	289	131	155	226	581	82	234	29	75	82	37
H041_1042	4241	6585	4462	3407	6402	9210	12713	6457	7414	1147	4439	5778	1920
H041_1043	2572	2890	1706	2965	1464	1422	1921	1496	1145	366	926	1472	511
H041_1044	600	443	395	545	112	178	220	60	61	32	111	80	20
H041_1045	1025	638	445	683	345	455	523	372	137	71	283	414	77
H041_1046	1294	2015	951	1781	894	662	987	785	553	133	368	634	193
H041_1047	5259	9858	6395	9643	2292	2043	3524	2173	1865	613	1558	2596	938
H041_1048	3959	6781	4371	5787	1620	1205	2005	2615	1283	405	1008	2054	628
H041_1049	9392	17506	11147	16854	4661	3716	5608	6148	3944	1100	3589	6456	1768
H041_105	883	1183	710	1239	890	960	1347	1086	622	148	538	1101	263
H041_1050	36	129	51	62	48	32	82	22	37	14	27	45	25
H041_1051	9	14	13	8	4	7	16	4	2	4	5	1	1
H041_1052	9	30	13	12	19	13	36	15	14	1	6	8	4
H041_1053	75	200	107	97	115	72	170	104	83	18	18	46	20
H041_1054	34	109	40	89	100	46	104	78	60	18	20	29	27
H041_1055	13	17	10	32	4	5	7	8	3	0	3	4	3
H041_1056	14957	31380	13403	32251	4317	4381	7021	6018	6070	1566	5081	8106	2798
H041_1057	13889	26124	12358	25908	3138	3394	6337	5228	5399	1127	4150	6236	1881
H041_1058	551	1266	770	1070	416	533	1103	610	529	145	350	556	236
H041_1059	15098	34172	15729	23824	9106	7306	15660	11347	10926	2441	6743	11800	4103
H041_106	9883	36776	9493	36998	7108	6106	7989	4923	4322	1364	7990	13072	2240
H041_1060	15551	24493	13190	25439	5578	4865	6915	10577	7131	1630	4796	9108	2825
H041_1061	28417	60212	37183	51782	18491	11717	21699	23824	18707	5073	11954	23863	8918
H041_1062	23131	63071	30964	56879	7931	4337	7969	7249	7736	2729	6491	11653	5662
H041_1063	1398	2723	2039	2784	675	353	718	465	433	187	459	550	398
H041_1064	3945	5594	3596	5805	2813	1562	2969	2285	1749	777	1273	2386	1214
H041_1065	11072	29034	15577	22430	7083	5967	10784	6770	6050	1964	4863	8049	2847
H041_1066	442	1326	1208	1013	177	175	696	173	181	52	166	153	75
H041_1067	3673	5157	2841	4337	1276	1005	1942	868	1078	315	699	1136	548
H041_1068	7469	17462	9941	13046	3753	4832	8109	5392	4652	2113	4350	6471	2072
H041_1069	64301	140106	66281	95040	13558	21028	26247	23912	17880	7086	22533	37321	8388
H041_107	253	884	344	732	508	317	496	453	259	84	381	821	141
H041_1070	48933	60077	35243	66942	7201	12085	20706	14785	8773	4775	14229	25735	7553
H041_1071	2712	4687	2437	7016	1372	1478	3323	1381	1074	980	2699	4399	1736
H041_1072	672	755	353	594	96	132	204	99	77	197	302	371	151
H041_1073	184	608	220	359	166	181	233	162	158	30	89	133	32
H041_1074	3054	7990	3926	6598	1839	2106	2817	1755	1811	431	1609	2264	645
H041_1075	845	2143	1007	1977	511	565	770	643	514	119	478	820	171
H041_1076	533	863	413	891	323	299	389	212	249	63	211	385	107
H041_1077	207	496	235	322	383	337	454	252	259	79	246	362	100
H041_1078	9571	22358	7517	17076	3822	7530	9081	8001	6084	1486	6332	10049	2164
H041_1079	1024	2235	995	1561	960	616	1081	724	705	151	380	713	269
H041_108	680	2317	708	2190	1073	725	971	657	504	199	815	1225	375
H041_1080	279	346	257	421	151	171	334	93	101	47	93	106	51
H041_1081	451	315	289	279	262	198	315	178	110	51	114	141	60
