ID	D55_H041_T1_20190110	D55_H041_T1_20180201	D60_H041_T1_20180208	D6_H041_T1_20180131	D55_PMN_H041_T0_20180201	D55_PMN_H041_T0_20190110	D60_PMN_H041_T0_20180208	D60_PMN_H041_T0_20181212	D6_PMN_H041_T0_20180131	D55_PMN_H041_T1_20180201	D55_PMN_H041_T1_20190110	D60_PMN_H041_T1_20181212	D6_PMN_H041_T1_20180131	D55_130_T1_20181106	D55_130_T1_20180201	D60_130_T1_20181113	D60_130_T1_20180208	D6_130_T1_20181108	D6_130_T1_20180131	D55_PMN_130_T0_20180201	D55_PMN_130_T0_20181106	D60_PMN_130_T0_20180208	D60_PMN_130_T0_20181113	D6_PMN_130_T0_20180131	D6_PMN_130_T0_20181108	D55_PMN_130_T1_20180201	D55_PMN_130_T1_20181106	D60_PMN_130_T1_20180208	D6_PMN_130_T1_20180131	D6_PMN_130_T1_20181108	D55_3X130_T1_20190129	D55_3X130_T1_20180201	D60_3X130_T1_20190305	D60_3X130_T1_20180208	D6_3X130_T1_20180802	D55_PMN_3X130_T0_20180201	D55_PMN_3X130_T0_20190129	D60_PMN_3X130_T0_20180208	D60_PMN_3X130_T0_20190305	D6_PMN_3X130_T0_20180802	D6_PMN_3X130_T0_20190307	D55_PMN_3X130_T1_20190129	D60_PMN_3X130_T1_20180208	D60_PMN_3X130_T1_20190305	D6_PMN_3X130_T1_20180802	D6_PMN_3X130_T1_20190307
NGO0001	8469	17973	8649	12697	10122	8280	14002	9541	8821	1915	4903	7569	2419	11132	17659	10754	8266	8716	11280	12932	9347	10954	8874	11084	9467	5895	11234	8937	5880	7845	11224	16476	8681	9161	10721	6339	8505	12430	10057	9055	6966	3756	5497	5241	3723	5819
NGO0002	7358	13631	7135	11786	4142	3923	5666	5317	3694	889	2451	4540	1359	9750	13806	7582	5466	8434	9840	5437	5510	4760	3752	5477	4290	2927	5124	4498	2829	4143	9420	13317	6648	7153	8174	2451	3821	5547	3761	4160	3127	2083	3073	2175	2297	2796
NGO0003	3689	2285	2115	1938	1475	1439	1860	1838	877	413	935	1720	553	4720	3009	2588	1364	3269	2084	2118	1444	1601	1474	1382	1977	1173	1758	1567	934	1366	3289	2463	2626	1639	1800	1031	2102	1326	1525	1488	1206	920	1295	793	848	1092
NGO0006	18420	15801	8634	14036	4143	5255	8258	5793	3707	1374	3915	6176	1848	18124	15291	12522	5378	15450	11231	4192	4002	5877	2783	4233	5518	3826	5417	5189	3699	4691	15721	12833	10806	5971	7675	2107	4563	6377	3857	4302	4296	2851	3758	3265	2676	5301
NGO0007	385	671	272	632	238	193	298	218	177	67	134	223	80	600	725	565	245	273	773	320	87	275	151	161	334	202	306	204	142	255	522	600	561	377	260	146	484	280	250	214	196	182	109	172	74	245
NGO0011	4919	10513	4994	8600	1769	1877	2750	919	1164	307	1409	1666	544	2857	8555	3445	3027	1624	5642	3158	854	3320	2456	1321	2924	1302	1744	2288	1665	1652	4855	8811	2879	4367	6892	1746	2403	3373	3760	4608	2392	1598	1324	1501	1313	1456
NGO0016	6377	12512	5684	9932	10291	12030	23991	6849	9419	1296	6430	8688	2152	6639	11958	8627	5617	2301	8987	8406	2381	22082	5459	4066	10870	3232	3651	6445	5414	3277	9012	11378	6642	6307	7661	5762	6876	16810	11388	11538	9335	6097	3385	7138	3426	7869
NGO0017	1740	2131	1749	2227	558	390	900	376	424	115	252	432	182	4657	7918	5008	3877	3080	6952	2578	742	3186	1393	1223	1602	1337	1154	1706	1193	1363	7275	8208	8012	5403	5762	1485	1465	2955	2248	2249	1532	1043	1159	1428	912	1278
NGO0018	1297	3973	2396	3704	632	1160	1648	800	539	133	764	1105	222	1551	5109	2104	1714	1511	3351	905	551	1306	822	574	583	604	388	994	626	687	1926	3738	1190	1375	3124	364	697	505	569	871	359	511	497	426	416	387
NGO0019	2714	7986	4666	6194	734	1143	1541	969	883	232	884	1239	312	3023	8193	3232	2698	3429	5329	1041	997	1029	1073	882	741	822	882	1027	733	997	3608	7290	2753	3337	5283	736	963	727	784	1047	625	807	673	826	614	840
