"130+PMN_1h_vs_130_1h"	"130+PMN_1h_vs_130+PMN_0h"	"3X130+PMN_1h_vs_3X130_1h"	"3X130+PMN_1h_vs_3X130+PMN_0h"
"Opaless3X_1006"	1	1	1	1
"Opaless3X_1008"	0	0	1	0
"Opaless3X_1012"	0	0	1	0
"Opaless3X_1017"	1	0	1	0
"Opaless3X_1018"	0	1	0	1
"Opaless3X_1026"	0	0	1	0
"Opaless3X_1049"	0	1	0	0
"Opaless3X_1061"	0	0	1	0
"Opaless3X_1064"	1	0	1	1
"Opaless3X_1067"	0	0	1	0
"Opaless3X_1068"	1	1	1	0
"Opaless3X_1074"	0	0	1	0
"Opaless3X_108"	1	0	1	0
"Opaless3X_109"	1	0	0	1
"Opaless3X_1097"	0	1	0	1
"Opaless3X_1099"	1	1	1	1
"Opaless3X_1100"	0	1	0	1
"Opaless3X_1102"	1	0	1	0
"Opaless3X_1104"	0	0	1	0
"Opaless3X_1118"	0	0	1	0
"Opaless3X_112"	1	0	0	0
"Opaless3X_1121"	0	0	1	0
"Opaless3X_1139"	1	0	0	0
"Opaless3X_115"	0	1	0	1
"Opaless3X_1161"	0	0	0	1
"Opaless3X_1163"	0	0	1	0
"Opaless3X_1167"	1	0	1	0
"Opaless3X_1170"	1	0	0	0
"Opaless3X_1172"	0	0	1	0
"Opaless3X_1177"	0	0	0	1
"Opaless3X_1178"	0	0	0	1
"Opaless3X_1179"	1	0	1	0
"Opaless3X_118"	1	0	1	0
"Opaless3X_1181"	0	1	0	1
"Opaless3X_1182"	0	0	0	1
"Opaless3X_1183"	0	0	0	1
"Opaless3X_1187"	0	0	1	0
"Opaless3X_119"	1	0	1	0
"Opaless3X_1195"	0	0	0	1
"Opaless3X_1196"	0	1	0	1
"Opaless3X_1199"	0	1	0	0
"Opaless3X_12"	0	0	0	1
"Opaless3X_1200"	0	1	0	0
"Opaless3X_1202"	1	0	0	0
"Opaless3X_1203"	0	0	0	1
"Opaless3X_1204"	0	0	0	1
"Opaless3X_121"	0	1	0	1
"Opaless3X_122"	0	1	0	0
"Opaless3X_1225"	1	0	0	0
"Opaless3X_1227"	1	0	1	0
"Opaless3X_1231"	0	0	1	0
"Opaless3X_1232"	1	0	1	0
"Opaless3X_1234"	1	0	1	0
"Opaless3X_1237"	1	1	1	1
"Opaless3X_124"	1	0	1	0
"Opaless3X_1240"	0	0	1	0
"Opaless3X_1242"	0	0	1	0
"Opaless3X_1245"	0	0	0	1
"Opaless3X_1246"	0	1	0	1
"Opaless3X_1247"	0	0	0	1
"Opaless3X_1250"	0	0	1	0
"Opaless3X_1259"	0	0	1	0
"Opaless3X_1270"	1	0	1	0
"Opaless3X_1283"	0	0	1	0
"Opaless3X_1284"	0	1	0	1
"Opaless3X_1285"	0	1	1	1
"Opaless3X_1286"	1	0	1	1
"Opaless3X_1287"	1	0	1	1
"Opaless3X_1289"	1	0	0	0
"Opaless3X_1290"	1	0	0	0
"Opaless3X_1294"	0	1	1	1
"Opaless3X_1297"	1	0	1	0
"Opaless3X_130"	0	0	1	0
"Opaless3X_131"	0	0	1	0
"Opaless3X_1332"	0	0	1	0
"Opaless3X_1337"	1	0	1	0
"Opaless3X_1340"	0	0	1	1
"Opaless3X_1351"	1	0	1	0
"Opaless3X_1353"	1	1	1	1
"Opaless3X_1354"	1	1	1	1
"Opaless3X_1355"	1	1	1	1
"Opaless3X_1356"	1	1	1	1
"Opaless3X_1357"	1	1	0	1
"Opaless3X_136"	0	1	0	1
"Opaless3X_1363"	0	0	1	0
"Opaless3X_1370"	1	0	1	1
"Opaless3X_1376"	1	0	1	0
"Opaless3X_1381"	1	0	0	0
"Opaless3X_1395"	0	0	1	0
"Opaless3X_1398"	0	0	1	0
"Opaless3X_1399"	0	0	0	1
"Opaless3X_1421"	0	0	1	0
"Opaless3X_1422"	0	0	1	0
"Opaless3X_1425"	0	0	1	0
"Opaless3X_143"	1	0	1	0
"Opaless3X_1445"	0	0	1	0
"Opaless3X_1453"	0	0	1	0
"Opaless3X_1459"	0	0	0	1
"Opaless3X_1460"	1	0	0	0
"Opaless3X_1461"	1	0	0	0
"Opaless3X_1462"	1	0	1	0
"Opaless3X_1470"	1	0	1	0
"Opaless3X_1473"	0	0	1	0
"Opaless3X_1474"	1	0	0	0
"Opaless3X_1481"	1	0	1	0
"Opaless3X_1484"	1	0	1	0
"Opaless3X_1491"	1	0	1	0
"Opaless3X_1497"	0	0	1	0
"Opaless3X_150"	1	0	1	0
"Opaless3X_1511"	0	0	0	1
"Opaless3X_1516"	0	0	1	0
"Opaless3X_1528"	0	0	1	0
"Opaless3X_1537"	0	0	0	1
"Opaless3X_1538"	0	0	1	0
"Opaless3X_1547"	1	1	1	0
"Opaless3X_1551"	1	1	1	1
"Opaless3X_1553"	0	0	0	1
"Opaless3X_1557"	1	0	1	1
"Opaless3X_1558"	0	0	0	1
"Opaless3X_1561"	0	0	1	0
"Opaless3X_1563"	0	0	1	0
"Opaless3X_1570"	1	0	0	0
"Opaless3X_1575"	1	0	0	0
"Opaless3X_158"	0	1	0	1
"Opaless3X_1585"	0	0	1	0
"Opaless3X_159"	1	1	1	1
"Opaless3X_1603"	1	0	1	1
"Opaless3X_1610"	0	0	1	0
"Opaless3X_1621"	0	0	1	0
"Opaless3X_1623"	0	0	1	0
"Opaless3X_1624"	0	0	0	1
"Opaless3X_1633"	0	0	0	1
"Opaless3X_1634"	0	1	0	1
"Opaless3X_1635"	0	0	1	0
"Opaless3X_1640"	0	0	1	0
"Opaless3X_1641"	1	0	0	0
"Opaless3X_1642"	1	0	1	0
"Opaless3X_1669"	1	0	1	1
"Opaless3X_1670"	0	1	0	1
"Opaless3X_1677"	0	0	1	0
"Opaless3X_1682"	0	0	1	0
"Opaless3X_1684"	0	0	0	1
"Opaless3X_1685"	0	1	0	0
"Opaless3X_1692"	0	0	0	1
"Opaless3X_1696"	0	0	0	1
"Opaless3X_1698"	0	0	0	1
"Opaless3X_1699"	0	1	0	1
"Opaless3X_1700"	1	0	1	0
"Opaless3X_1701"	0	0	0	1
"Opaless3X_1702"	1	0	1	0
"Opaless3X_1706"	0	0	0	1
"Opaless3X_1707"	0	0	0	1
"Opaless3X_1717"	0	1	0	1
"Opaless3X_173"	1	0	1	0
"Opaless3X_1731"	0	0	0	1
"Opaless3X_1739"	0	0	1	0
"Opaless3X_1743"	0	0	0	1
"Opaless3X_1747"	1	0	1	0
"Opaless3X_1748"	1	0	1	0
"Opaless3X_1751"	0	0	1	0
"Opaless3X_1756"	1	0	1	0
"Opaless3X_1757"	1	0	1	0
"Opaless3X_1758"	1	0	1	0
"Opaless3X_1759"	0	0	1	0
"Opaless3X_176"	0	0	0	1
"Opaless3X_1761"	0	0	0	1
"Opaless3X_1762"	0	0	1	0
"Opaless3X_1765"	0	1	1	1
"Opaless3X_1766"	1	0	1	1
"Opaless3X_1767"	0	0	0	1
"Opaless3X_1768"	0	0	0	1
"Opaless3X_1769"	1	0	1	0
"Opaless3X_1772"	0	0	1	0
"Opaless3X_1811"	0	0	1	0
"Opaless3X_1819"	0	0	0	1
"Opaless3X_1822"	1	0	1	0
"Opaless3X_1835"	0	1	0	1
"Opaless3X_1836"	0	1	0	1
"Opaless3X_1837"	0	0	0	1
"Opaless3X_1838"	0	1	0	1
"Opaless3X_1848"	1	0	1	0
"Opaless3X_1862"	1	0	1	0
"Opaless3X_1863"	0	0	1	1
"Opaless3X_1869"	0	0	0	1
"Opaless3X_1870"	0	1	1	1
"Opaless3X_1871"	0	0	1	0
"Opaless3X_1872"	1	0	1	0
"Opaless3X_1878"	0	1	0	1
"Opaless3X_1882"	1	0	1	0
"Opaless3X_1899"	0	0	1	0
"Opaless3X_1904"	1	0	1	0
"Opaless3X_1907"	0	0	1	0
"Opaless3X_1916"	1	0	0	0
"Opaless3X_1921"	0	0	1	0
"Opaless3X_1923"	1	0	1	0
"Opaless3X_1924"	1	0	1	0
"Opaless3X_1925"	1	0	1	0
"Opaless3X_1926"	1	0	0	0
"Opaless3X_1927"	1	0	0	0
"Opaless3X_1942"	1	0	1	0
"Opaless3X_1948"	0	0	1	0
"Opaless3X_1951"	0	1	0	1
"Opaless3X_1952"	0	1	0	1
"Opaless3X_1953"	0	1	0	1
"Opaless3X_1957"	1	0	1	0
"Opaless3X_1958"	1	0	1	0
"Opaless3X_1959"	1	0	0	0
"Opaless3X_1960"	1	0	1	0
"Opaless3X_1963"	0	0	0	1
"Opaless3X_1964"	1	0	1	0
"Opaless3X_1968"	0	1	0	0
"Opaless3X_1969"	1	0	1	0
"Opaless3X_1971"	0	1	0	1
"Opaless3X_1976"	0	0	1	0
"Opaless3X_1981"	0	1	0	1
"Opaless3X_1982"	0	1	1	1
"Opaless3X_1986"	1	0	1	0
"Opaless3X_199"	1	0	1	0
"Opaless3X_1994"	0	0	1	0
"Opaless3X_1995"	0	0	1	0
