"H041+PMN_1h_vs_H041_1h"	"H041+PMN_1h_vs_H041+PMN_0h"
"H041_1001"	1	0
"H041_1006"	1	0
"H041_1009"	1	0
"H041_1023"	1	0
"H041_1024"	1	0
"H041_1025"	1	0
"H041_1027"	1	0
"H041_1031"	1	0
"H041_1032"	1	0
"H041_1035"	1	0
"H041_1040"	1	0
"H041_1042"	1	0
"H041_1044"	1	0
"H041_1053"	0	1
"H041_1066"	1	0
"H041_107"	1	0
"H041_1071"	1	1
"H041_1072"	0	1
"H041_1077"	1	0
"H041_1086"	1	0
"H041_1089"	1	0
"H041_109"	1	0
"H041_1090"	1	0
"H041_1092"	1	0
"H041_1093"	1	0
"H041_1095"	1	0
"H041_1099"	1	0
"H041_1107"	1	0
"H041_1108"	1	0
"H041_1110"	1	0
"H041_1115"	1	0
"H041_1116"	1	0
"H041_1124"	1	0
"H041_1132"	1	0
"H041_1133"	0	1
"H041_1134"	0	1
"H041_1136"	1	1
"H041_1140"	1	0
"H041_1144"	1	0
"H041_1145"	1	0
"H041_1155"	1	0
"H041_1156"	1	0
"H041_1164"	1	0
"H041_1165"	1	0
"H041_1166"	1	0
"H041_1169"	1	0
"H041_1173"	1	0
"H041_118"	1	0
"H041_1180"	1	1
"H041_1182"	1	1
"H041_1190"	1	0
"H041_1191"	1	0
"H041_1192"	1	0
"H041_1193"	1	0
"H041_1194"	1	0
"H041_1198"	0	1
"H041_1199"	0	1
"H041_1203"	1	0
"H041_1208"	1	0
"H041_1215"	1	0
"H041_1242"	1	0
"H041_1249"	1	0
"H041_1250"	0	1
"H041_1272"	1	0
"H041_1281"	1	1
"H041_1293"	1	0
"H041_1304"	1	0
"H041_1307"	1	0
"H041_1310"	1	0
"H041_1311"	1	0
"H041_1314"	1	0
"H041_1319"	1	0
"H041_1327"	1	0
"H041_1328"	1	0
"H041_135"	1	0
"H041_1350"	1	0
"H041_1353"	1	0
"H041_1356"	1	0
"H041_1367"	1	0
"H041_1371"	0	1
"H041_1372"	1	1
"H041_1378"	1	0
"H041_1379"	1	0
"H041_1389"	1	0
"H041_1392"	0	1
"H041_1396"	0	1
"H041_1397"	1	0
"H041_1403"	1	0
"H041_1411"	1	0
"H041_1412"	0	1
"H041_1417"	0	1
"H041_1418"	1	0
"H041_142"	1	0
"H041_1420"	1	0
"H041_1423"	1	0
"H041_1427"	1	0
"H041_1428"	1	0
"H041_1431"	1	0
"H041_1436"	1	0
"H041_1437"	1	0
"H041_1438"	1	0
"H041_1439"	1	0
"H041_1446"	1	0
"H041_1449"	1	0
"H041_1450"	1	0
"H041_1492"	1	0
"H041_1498"	1	0
"H041_1501"	1	0
"H041_1502"	1	0
"H041_1518"	1	0
"H041_152"	0	1
"H041_1527"	1	0
"H041_1544"	1	0
"H041_1548"	1	0
"H041_1552"	1	0
"H041_1558"	1	0
"H041_1573"	1	0
"H041_1585"	1	0
"H041_1596"	0	1
"H041_1600"	0	1
"H041_1601"	1	1
"H041_1602"	0	1
"H041_1605"	1	0
"H041_161"	1	0
"H041_1612"	1	0
"H041_1615"	1	0
"H041_1619"	1	0
"H041_1620"	1	0
"H041_1627"	1	0
"H041_1632"	1	0
"H041_1636"	1	0
"H041_1643"	1	0
"H041_1658"	1	0
"H041_1678"	1	0
"H041_1701"	1	0
"H041_1722"	1	0
"H041_1723"	1	1
"H041_1724"	1	0
"H041_1725"	0	1
"H041_1728"	1	0
"H041_1730"	1	0
"H041_1732"	1	0
"H041_1743"	1	0
"H041_1745"	1	1
"H041_1746"	0	1
"H041_1747"	0	1
"H041_1748"	1	1
"H041_1749"	0	1
"H041_1755"	1	0
"H041_1762"	1	0
"H041_1768"	1	0
"H041_177"	1	0
"H041_1790"	0	1
"H041_1804"	1	0
"H041_1814"	1	0
"H041_1815"	1	0
