"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Significant"
"ENSG00000002919"	142.192287327573	-1.00811597343946	0.200959079017101	-5.01652365431906	5.26148011959625e-07	1.0438015861358e-05	"TRUE"
"ENSG00000004455"	258.71953571244	1.32921282018431	0.241168728268601	5.5115471633781	3.55693086769008e-08	9.08037576238524e-07	"TRUE"
"ENSG00000004799"	34.5165876992972	-2.76360785385173	0.620179641340065	-4.45614088182613	8.34482042972011e-06	0.000120955821475151	"TRUE"
"ENSG00000004864"	126.892096697325	2.19833725521546	0.255402981681155	8.60732807716341	7.47831884876677e-18	9.32863622452983e-16	"TRUE"
"ENSG00000006327"	89.9758507484649	1.11596017232534	0.400288372824974	2.78789055112849	0.00530524640631342	0.0270118080786508	"TRUE"
"ENSG00000006555"	11.8485984604348	-1.25969487206519	0.430023046189543	-2.92936595660956	0.00339654273247657	0.0188625540077434	"TRUE"
"ENSG00000006831"	275.176483193846	1.25572997272649	0.193892642450299	6.47641889273014	9.39250666535126e-11	3.88585464200186e-09	"TRUE"
"ENSG00000007314"	1.9482751131491	2.95801056569025	1.10972483714237	2.66553515491945	0.00768658946092873	0.0365273829909531	"TRUE"
"ENSG00000007376"	17.1022731811082	-1.14014734679171	0.34568965529949	-3.29818184985587	0.000973130887874853	0.00684638445430855	"TRUE"
"ENSG00000008056"	3.1530899994007	3.11586547858655	0.986957122488831	3.15704239585323	0.0015937817216373	0.0102632811218145	"TRUE"
"ENSG00000008118"	50.87163169083	4.64409840920114	0.593333553505946	7.82712924586795	4.99135900091373e-15	4.15089481358816e-13	"TRUE"
"ENSG00000008256"	80.4455031370277	2.20189885971904	0.281359630511627	7.82592319912807	5.03944928641121e-15	4.16982773618326e-13	"TRUE"
"ENSG00000008294"	3602.42849860396	1.37690233981934	0.183183369242586	7.51652481069905	5.62514101678135e-14	3.99239534406559e-12	"TRUE"
"ENSG00000008405"	61.0219237014734	1.01074826989236	0.24031805924736	4.20587729885083	2.60071313749098e-05	0.000322464928628964	"TRUE"
"ENSG00000010165"	7.86626143473957	-1.47505338328126	0.518674083743092	-2.84389258980574	0.00445660686782091	0.023459874899469	"TRUE"
"ENSG00000010310"	24.5180825016209	2.11910729487168	0.503736456666269	4.20677770454803	2.59037717510516e-05	0.000321667802151445	"TRUE"
"ENSG00000011422"	18310.5115778375	1.81732789884068	0.200077660682446	9.08311249062964	1.0551347594108e-19	1.68678145130662e-17	"TRUE"
"ENSG00000013297"	8.45900372888839	1.95100875072511	0.718426408487474	2.71566959075549	0.00661418911065093	0.0323875688234776	"TRUE"
"ENSG00000013619"	14.5635469633706	4.42118971749848	0.708838103001067	6.23723484781663	4.45373115542994e-10	1.65916600012012e-08	"TRUE"
"ENSG00000014138"	22.0078050011111	-1.1084748279127	0.277320076731956	-3.99709548971492	6.41244387016499e-05	0.000703915338440912	"TRUE"
"ENSG00000014919"	40.9757908338123	-1.05496761775968	0.279729786589459	-3.77138105534678	0.000162346538916674	0.00154788541389806	"TRUE"
