"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Significant"
"ENSG00000001617"	6.4866837817165	1.28232467405408	0.464057753685871	2.76328681908439	0.00572224584309761	0.0341676996990823	"TRUE"
"ENSG00000004799"	34.5165876992972	-1.71144023939414	0.566459908093718	-3.02129103038125	0.00251699309523516	0.0179185188848056	"TRUE"
"ENSG00000004864"	126.892096697325	1.94745392221566	0.240309675135362	8.10393472971363	5.32096594763286e-16	8.35098756570232e-14	"TRUE"
"ENSG00000005379"	628.29907032651	1.59054468092717	0.319375119495232	4.98017717673499	6.35260874738332e-07	1.57956508490533e-05	"TRUE"
"ENSG00000006327"	89.9758507484649	1.2554908130536	0.387738008111723	3.23798747295324	0.00120376095024868	0.00984658179921461	"TRUE"
"ENSG00000006555"	11.8485984604348	-1.09743611411509	0.418749346151011	-2.62074705119498	0.00877373337996983	0.04740753535412	"TRUE"
"ENSG00000007264"	11.828973173252	1.00472501692003	0.386456657688903	2.59983880968312	0.00932675585136095	0.0495447640289263	"TRUE"
"ENSG00000008118"	50.87163169083	2.59529011619496	0.518980361311748	5.00074821643585	5.71082524362675e-07	1.43880835703568e-05	"TRUE"
"ENSG00000008256"	80.4455031370277	2.0841864036945	0.266054371717831	7.83368598770826	4.73771158712364e-15	6.23446400930186e-13	"TRUE"
"ENSG00000008294"	3602.42849860396	1.27137133133922	0.182813855229269	6.95445829171308	3.53919325264425e-12	2.70290084700827e-10	"TRUE"
"ENSG00000010310"	24.5180825016209	1.59888096893022	0.482807796329665	3.31163038601491	0.000927540051502953	0.00792504003587988	"TRUE"
"ENSG00000011422"	18310.5115778375	1.53815581789504	0.200035500054268	7.68941421636535	1.47810199629833e-14	1.80613506076254e-12	"TRUE"
"ENSG00000011523"	20.376748309965	-1.01574303212308	0.267422304059173	-3.79827343009625	0.00014570753530742	0.00170961509362416	"TRUE"
"ENSG00000013297"	8.45900372888839	3.8057559012992	0.738930207029481	5.15035908005228	2.5998821500222e-07	7.22015973058925e-06	"TRUE"
"ENSG00000013523"	6.46600602717101	-1.56701298917342	0.516422506420505	-3.03436230933254	0.00241044757887703	0.0172988486617234	"TRUE"
"ENSG00000013619"	14.5635469633706	3.42048211941189	0.602008862418671	5.68178034069056	1.3329979476879e-08	4.89347551311092e-07	"TRUE"
"ENSG00000014919"	40.9757908338123	-1.05076659579231	0.271816125471925	-3.86572575106784	0.000110759343623429	0.00135630643619613	"TRUE"
"ENSG00000016391"	5.15525014257628	3.5433948366631	0.985531174191632	3.59541628865218	0.000323873262415399	0.00332762756765179	"TRUE"
"ENSG00000016864"	12.9037719458181	-1.63309901678297	0.351416823582415	-4.64718507251536	3.36495250085317e-06	6.7645695839005e-05	"TRUE"
"ENSG00000019144"	21.334750776627	2.58318951600187	0.538427813230813	4.79765244759841	1.60536018331018e-06	3.59461086751881e-05	"TRUE"
"ENSG00000023445"	785.902613030472	1.41926496393002	0.374638242239548	3.78836115460559	0.00015164430187861	0.0017647476681887	"TRUE"
"ENSG00000026025"	5067.60691248127	1.06107550956515	0.150070503015566	7.07051344697025	1.54361475389806e-12	1.25745798071115e-10	"TRUE"
"ENSG00000026508"	6532.41541945426	2.36315078243776	0.294917594098311	8.01291896355971	1.12017452748259e-15	1.65196772772799e-13	"TRUE"
"ENSG00000026652"	74.5941083032843	1.03539183709027	0.314347443715539	3.2937816349072	0.000988492588698454	0.00835481359430061	"TRUE"
"ENSG00000026751"	119.71738385234	3.77588011068296	0.529662788732797	7.1288378020979	1.01219924500738e-12	8.58734554725459e-11	"TRUE"
"ENSG00000027075"	416.169750737287	2.54419805898566	0.271938573027862	9.35578219249162	8.29834021219267e-21	3.46243185390195e-18	"TRUE"
"ENSG00000034152"	3199.55449570028	1.99095613297851	0.236625492544662	8.41395452183887	3.96414464830901e-17	7.61962050546317e-15	"TRUE"
"ENSG00000034533"	14.3891601789166	-1.65703244935533	0.318172256181332	-5.2079727794084	1.90914923187003e-07	5.54496025629891e-06	"TRUE"
"ENSG00000034713"	514.796181422058	1.6097215122523	0.200097976761505	8.04466660935265	8.64805309421312e-16	1.297738984936e-13	"TRUE"
"ENSG00000035681"	784.386895044813	2.10931859062587	0.280044898710872	7.5320728937955	4.99410633910354e-14	5.33963607144026e-12	"TRUE"
"ENSG00000038002"	5.76246277572985	-1.4219732230193	0.543227263562483	-2.61763964808026	0.00885402511975327	0.0476646814582851	"TRUE"
"ENSG00000039319"	1642.11017078483	1.03947474803624	0.232278162349019	4.47512903289779	7.63651803272781e-06	0.000138095046496696	"TRUE"
"ENSG00000040199"	10.5843700080594	1.06656068294729	0.341482520495754	3.12332438392128	0.00178820544549862	0.0135657785171374	"TRUE"
"ENSG00000042832"	172.655111581541	1.18632505898293	0.311251252092588	3.81147080054167	0.000138142375874725	0.00163091899523045	"TRUE"
"ENSG00000051128"	16.649023873737	2.07168921668663	0.415695429318513	4.98367090560254	6.23891567773667e-07	1.55808949633637e-05	"TRUE"
"ENSG00000053501"	22.1490287656231	1.22185668341917	0.350902090950576	3.48204446462324	0.00049760105842906	0.00472127637634273	"TRUE"
"ENSG00000053524"	17.2430623114938	3.39271330181651	0.514752541665068	6.59095978592377	4.369922517526e-11	2.78941285475064e-09	"TRUE"
"ENSG00000054148"	1.78529656800002	-3.33495849751135	1.10256916894652	-3.02471590122352	0.00248866775871415	0.0177612179175315	"TRUE"
"ENSG00000055483"	849.591194894197	1.49644954777767	0.251841835178115	5.94202129570451	2.81528834825961e-09	1.2100788385346e-07	"TRUE"
"ENSG00000056558"	1098.14981564482	3.52319904667964	0.363497730969137	9.69249254262547	3.24510614893004e-22	1.54205641360406e-19	"TRUE"
"ENSG00000057704"	2119.41805861657	1.21991843829829	0.215152554936147	5.67001604354796	1.4278414821793e-08	5.19703919907263e-07	"TRUE"
"ENSG00000058729"	10.359034482175	-1.14448019814944	0.363282651149359	-3.15038495377779	0.00163055460886775	0.0126273869143959	"TRUE"
"ENSG00000060558"	112.800411979261	1.34631508844533	0.252432924779624	5.33335772114779	9.64131118652305e-08	2.96111149852513e-06	"TRUE"
"ENSG00000060982"	30.7597637084772	1.36449997845044	0.445409225085777	3.06347489365014	0.00218782562203674	0.0160013394254735	"TRUE"
"ENSG00000062582"	5.3813468283756	2.81846850253812	0.720050161749922	3.91426688341887	9.06792959869256e-05	0.00115506382460785	"TRUE"
"ENSG00000063015"	33.0921787798064	2.31057374296369	0.329425353484051	7.01395238261634	2.31678273535111e-12	1.83487047470608e-10	"TRUE"
"ENSG00000063322"	278.927222036402	1.02489327191283	0.138171768034799	7.41753027040015	1.19324422757617e-13	1.21504934530628e-11	"TRUE"
"ENSG00000064270"	243.137041872011	3.2659722060611	0.404304463312027	8.07800185856603	6.58366036020203e-16	9.96696263557311e-14	"TRUE"
"ENSG00000065150"	44.0873394745246	1.05497907473076	0.284374083212908	3.70982848651826	0.000207399703305589	0.00227873264254895	"TRUE"
"ENSG00000065618"	5.80025804200902	1.84487667404444	0.606011455857956	3.04429339777508	0.00233227562318419	0.0168418062835846	"TRUE"
"ENSG00000065809"	1617.84417527317	1.43231153141804	0.250777148053321	5.71149142789316	1.1199033931651e-08	4.16482333627724e-07	"TRUE"
"ENSG00000065989"	89.3379532125442	1.44104699001026	0.330563707740875	4.35936237483118	1.30441957416667e-05	0.000220501044024399	"TRUE"
"ENSG00000067225"	367.388002082132	1.21467607764242	0.176714829957107	6.87365105654828	6.2579176063134e-12	4.61440502117256e-10	"TRUE"
"ENSG00000067334"	834.181269545121	1.09442614757586	0.223108109495781	4.90536247225276	9.32549628688335e-07	2.20651818782453e-05	"TRUE"
"ENSG00000067606"	195.660494338837	1.03756761741684	0.251722665281217	4.12186807357095	3.75812412831926e-05	0.00054636356116109	"TRUE"
"ENSG00000069956"	486.041130756362	3.00571661173685	0.308238828887813	9.75125886177958	1.82194765652496e-22	9.16707604710957e-20	"TRUE"
"ENSG00000070961"	6289.0461056681	1.50758329029208	0.266776472164459	5.65111037739004	1.59414680320716e-08	5.72921625261866e-07	"TRUE"
"ENSG00000071859"	92.453038293609	1.26635120193665	0.214598995783506	5.90101177926381	3.61279108853432e-09	1.50009750367856e-07	"TRUE"
"ENSG00000073111"	7.17554043211935	1.84761865909543	0.449712038277027	4.10844829988134	3.98326346712868e-05	0.000571658457484651	"TRUE"
"ENSG00000073756"	38599.7347078513	1.09855837116342	0.264525337177199	4.15294195590618	3.2822801544732e-05	0.000486990170013643	"TRUE"
"ENSG00000074416"	14.681990252864	1.93835026818443	0.4437050172332	4.36855611926895	1.2507068025575e-05	0.000213318457341486	"TRUE"
"ENSG00000074660"	1325.36474572014	1.27714774866814	0.211346173668426	6.04291871719341	1.51350913893433e-09	6.90442689059989e-08	"TRUE"
"ENSG00000075426"	9794.14590912535	1.17134440174367	0.165339589240998	7.08447630189961	1.39571092649442e-12	1.14241276648517e-10	"TRUE"
"ENSG00000076382"	93.1073798785122	2.02488213736478	0.260278344822303	7.77967963007913	7.27084386912076e-15	9.28226313948125e-13	"TRUE"
"ENSG00000076604"	34.4524639116974	1.11096000062159	0.311257120567496	3.56926774428822	0.000357980423838169	0.00361083202275917	"TRUE"
"ENSG00000076706"	18.2005887233945	1.23766873824264	0.409886109263002	3.01954301517571	0.00253156341316437	0.017998360642165	"TRUE"
"ENSG00000077150"	3517.94599780935	1.31599256172466	0.175387892442662	7.50332616121082	6.22184797657871e-14	6.52988670768908e-12	"TRUE"
"ENSG00000077380"	11.5926302885316	-1.08671855651823	0.409728586007613	-2.65228884102815	0.00799481171056989	0.0441897395582291	"TRUE"
"ENSG00000078081"	7.85117450359615	1.52955957430488	0.485885938179008	3.14798073810765	0.00164402526232273	0.0126972190350135	"TRUE"
"ENSG00000078098"	2.97949584225278	3.85212845300471	1.10536807496973	3.48492826980749	0.000492268986906987	0.0046810703496486	"TRUE"
"ENSG00000078269"	49.1923074125103	2.4589491360063	0.338411480136483	7.26615165364542	3.69873327144634e-13	3.38364866709265e-11	"TRUE"
"ENSG00000078401"	203.674401483704	4.63676129760191	0.470072703978712	9.86392372574751	5.96709317386002e-23	3.40263543084078e-20	"TRUE"
"ENSG00000079215"	2.64041562902682	2.43282209077445	0.836850298862092	2.90711743077881	0.00364776231738564	0.0239089156948338	"TRUE"
"ENSG00000081041"	998.373128052483	5.28531750845021	0.435591763257217	12.1336488755625	7.00567927770642e-34	2.39692310807448e-30	"TRUE"
"ENSG00000083812"	76.727057082321	-1.02476991465972	0.27422436328908	-3.73697618391198	0.000186246556924082	0.00209475335259716	"TRUE"
"ENSG00000084234"	2439.48704241551	1.49947981949598	0.166115109275417	9.02675154618147	1.76843336062247e-19	5.93188029415069e-17	"TRUE"
"ENSG00000085117"	1323.89398026362	1.60995584448235	0.215096701798569	7.48480023645373	7.16560440422904e-14	7.42921179049371e-12	"TRUE"
"ENSG00000086544"	105.483499199811	1.09543251186672	0.285444694634542	3.83763486397677	0.000124225012338151	0.00149761612830779	"TRUE"
"ENSG00000087008"	70.0163941478644	1.3780669697966	0.206254194983251	6.6814009281533	2.36668753691235e-11	1.56320168702547e-09	"TRUE"
"ENSG00000087074"	10006.5597677928	2.16036587121318	0.186628642744359	11.5757465705434	5.46930560193985e-31	1.16954263665481e-27	"TRUE"
"ENSG00000087302"	67.6705304409142	1.05840926660137	0.245896072063698	4.30429513460142	1.67518223877293e-05	0.000273709097981744	"TRUE"
"ENSG00000089335"	9.23745950911478	-1.49583324560373	0.425755855120367	-3.51335918840351	0.000442478875611248	0.00427654583337944	"TRUE"
"ENSG00000089351"	864.656041288711	1.12292941074501	0.23630098265289	4.75211485850874	2.01299960317047e-06	4.3756523775651e-05	"TRUE"
"ENSG00000089558"	17.3370651774842	1.8935622622069	0.613084001754191	3.08858534358902	0.00201111920928159	0.0149268759127543	"TRUE"
"ENSG00000090020"	506.086891289528	1.45160879304637	0.197431370405031	7.3524728621819	1.94573047469139e-13	1.91296616267503e-11	"TRUE"
"ENSG00000090339"	5868.22905983791	1.5943642031227	0.222783021049997	7.15657861002295	8.27154568941894e-13	7.18280873649187e-11	"TRUE"
"ENSG00000090924"	719.144485378825	1.58248063762928	0.410017783041273	3.85954147132683	0.000113599978137661	0.00138711979015058	"TRUE"
"ENSG00000091181"	98.1389227472756	-1.4296400617069	0.427820033887347	-3.34168563523453	0.000832713131081046	0.00727168123195685	"TRUE"
"ENSG00000091640"	71.3207017282028	1.4051255670502	0.226210332357018	6.21158880060593	5.2451535769042e-10	2.65469947455917e-08	"TRUE"
"ENSG00000092199"	2068.03427614815	1.01448434931206	0.199738445234163	5.079064013554	3.79298902627229e-07	1.01227243794758e-05	"TRUE"
"ENSG00000092295"	16.8785746855168	1.85529468402333	0.375996632138243	4.93433856966356	8.0422829636217e-07	1.93229402610501e-05	"TRUE"
"ENSG00000093134"	1332.83631554783	-1.22233039400312	0.269629325563057	-4.53337333189028	5.80490828510403e-06	0.000109003927927345	"TRUE"
"ENSG00000094804"	13.9582688582539	1.41953478187978	0.362268483552919	3.91846060677928	8.91162899548342e-05	0.00113769580019205	"TRUE"
"ENSG00000095383"	107.456771305374	1.19348810919275	0.324419909743257	3.67883743675678	0.000234299545978482	0.0025288090429362	"TRUE"
"ENSG00000095794"	1747.70264324361	1.12015782009541	0.178688570550965	6.26877150923271	3.63907655893542e-10	1.89220920041666e-08	"TRUE"
"ENSG00000095951"	1367.34126037603	1.6687664458193	0.192211985826453	8.68190627470036	3.891900801876e-18	8.76036144969641e-16	"TRUE"
"ENSG00000095970"	4.69627458871831	1.87887420414091	0.716215424804471	2.62333669322166	0.00870731768286569	0.0471977451206538	"TRUE"
"ENSG00000096070"	295.396400929692	1.04500362481083	0.239632633639239	4.3608569039226	1.29554075187824e-05	0.000219651294770873	"TRUE"
"ENSG00000096384"	109.106506813133	1.05357119691723	0.335312377851256	3.14205876821104	0.00167764359188259	0.0128928341987132	"TRUE"
"ENSG00000096696"	9.75974008386174	1.49279175210729	0.56536082261752	2.64042305796135	0.00828025921044575	0.0453426358236541	"TRUE"
"ENSG00000099365"	7.34966544780995	1.98410878735364	0.523794373984159	3.78795360527039	0.00015189320353009	0.00176644257837475	"TRUE"
"ENSG00000099385"	9.70072159953992	-1.0034608319724	0.363165770234311	-2.7630930947181	0.00572564332875405	0.0341760573708986	"TRUE"
"ENSG00000099860"	957.950293990554	3.09029763857389	0.221375394176955	13.9595353406968	2.75222321689126e-44	4.70822825713587e-40	"TRUE"
"ENSG00000099985"	13498.5944169332	1.50175601403533	0.210588339915614	7.13124009922442	9.94686315382803e-13	8.5080493986268e-11	"TRUE"
"ENSG00000100024"	131.277908304494	2.75116509096333	0.305302241939324	9.01128361681044	2.03658588923947e-19	6.46546004100477e-17	"TRUE"
"ENSG00000100058"	13.0888877083378	-1.03359280009612	0.33930149513683	-3.04623709270513	0.00231725031808182	0.0167545229042374	"TRUE"
"ENSG00000100100"	133.677067147985	1.15182599012586	0.201537566618317	5.71519250456791	1.0957990265853e-08	4.10193303015202e-07	"TRUE"
"ENSG00000100219"	348.677875121294	2.08556736471281	0.25030693344834	8.33203993185928	7.9461135787406e-17	1.41598088532829e-14	"TRUE"
"ENSG00000100221"	2309.94083244868	1.32517571208313	0.200074262040538	6.6234192172836	3.50983776226111e-11	2.27434828026518e-09	"TRUE"
"ENSG00000100284"	2808.4770002051	1.00729088496429	0.18194579915041	5.53621402454911	3.09079844371408e-08	1.04288538415418e-06	"TRUE"
"ENSG00000100416"	30.7131013140882	-1.22386859581754	0.297465251081575	-4.11432458536785	3.88314715855812e-05	0.000560109599000453	"TRUE"
"ENSG00000100714"	3.54694663893897	-2.71101742826701	0.765632305398303	-3.54088693639522	0.00039878442625602	0.00393425904265383	"TRUE"
"ENSG00000100906"	14338.4872256501	2.51812328081607	0.281014156176455	8.96084138634955	3.22210259144574e-19	9.50353603997624e-17	"TRUE"
"ENSG00000100949"	45.5804996194484	1.15542939136373	0.258409564822227	4.47131046468269	7.77417417237377e-06	0.000140287761146411	"TRUE"
"ENSG00000101187"	15.9996986576184	2.25333882435494	0.437313265758088	5.15268801747587	2.56778957308517e-07	7.14586922342843e-06	"TRUE"
