"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Significant"
"ENSG00000001617"	6.4866837817165	1.49607383567926	0.505280912470844	2.96087542346178	0.00306765993869869	0.0203562678709536	"TRUE"
"ENSG00000002919"	142.192287327573	-1.05413484944248	0.206305215524634	-5.10958894937201	3.22860463142744e-07	9.79286160103355e-06	"TRUE"
"ENSG00000004455"	258.71953571244	1.36601375537689	0.257476762269354	5.30538656512956	1.12434469336028e-07	4.01548322950195e-06	"TRUE"
"ENSG00000004799"	34.5165876992972	-2.11943094279101	0.595929679537855	-3.5565118093038	0.000375811594373069	0.00369695741514669	"TRUE"
"ENSG00000004864"	126.892096697325	1.3033326800493	0.26135600311579	4.98680980926955	6.13844389009419e-07	1.71026644345018e-05	"TRUE"
"ENSG00000006327"	89.9758507484649	3.24683044251966	0.42385757936354	7.66019200929489	1.85655305263213e-14	6.6166777232037e-12	"TRUE"
"ENSG00000006831"	275.176483193846	1.23904820692684	0.202771879397903	6.11055246223481	9.92868319072153e-10	6.71343807682503e-08	"TRUE"
"ENSG00000008056"	3.1530899994007	3.2789919560453	0.84290416738998	3.89011240293018	0.000100197799443198	0.00125665964448298	"TRUE"
"ENSG00000008118"	50.87163169083	3.75611169744249	0.613703777082275	6.12039853380099	9.33416050885444e-10	6.38717935299891e-08	"TRUE"
"ENSG00000008128"	21.7234053241342	-1.04369307174679	0.382661892945627	-2.72745494387416	0.00638249733939169	0.0363951273283246	"TRUE"
"ENSG00000008256"	80.4455031370277	2.13035281171246	0.291724746459329	7.30261260852433	2.82232919379658e-13	6.11159310357952e-11	"TRUE"
"ENSG00000008394"	3.39269130088897	1.3300298794888	0.488401540354251	2.72323031275473	0.00646469726797461	0.0367658165436309	"TRUE"
"ENSG00000008405"	61.0219237014734	1.21693606755628	0.247396675229743	4.9189669441846	8.70021590843016e-07	2.33163715333944e-05	"TRUE"
"ENSG00000008441"	2.58825966554558	2.30228426826305	0.871239327641585	2.64253942082166	0.00822868857364746	0.0443478142023548	"TRUE"
"ENSG00000008952"	340.388597314675	1.01742892811914	0.289061561284457	3.51976555996636	0.000431928399908073	0.00414413860753079	"TRUE"
"ENSG00000013297"	8.45900372888839	5.16039674182534	0.916713888227843	5.6292337315858	1.81011971307733e-08	8.36911295449025e-07	"TRUE"
"ENSG00000013563"	98.7449750587315	1.32226437727991	0.221602622391907	5.96682639856791	2.41912550301811e-09	1.45718239366658e-07	"TRUE"
"ENSG00000013619"	14.5635469633706	3.36927665626854	0.655346396423146	5.14121489743121	2.72967621734526e-07	8.53685028338671e-06	"TRUE"
"ENSG00000013725"	29.3037710788765	1.21677000514779	0.466981806364377	2.60560473355651	0.00917122299392108	0.0482776551758664	"TRUE"
"ENSG00000015475"	1975.95309087632	1.1534379396515	0.171921101811596	6.70911207232445	1.95812240323166e-11	2.52104027635894e-09	"TRUE"
"ENSG00000016391"	5.15525014257628	3.49579296509845	1.01409156216562	3.4472163022766	0.000566394915110335	0.0051402216513488	"TRUE"
"ENSG00000016864"	12.9037719458181	-1.18936880961006	0.31018516170315	-3.83438331827199	0.000125879708790023	0.00150694484133725	"TRUE"
"ENSG00000019144"	21.334750776627	2.98739923856976	0.604232065878658	4.94412562204153	7.64863730942387e-07	2.08352290529163e-05	"TRUE"
"ENSG00000020633"	161.473146373141	1.10389957501723	0.309915676691058	3.56193525543291	0.000368131179387651	0.00363394119202801	"TRUE"
"ENSG00000023445"	785.902613030472	2.31933630104627	0.410314678444756	5.65257940524432	1.58057739728218e-08	7.42827954266656e-07	"TRUE"
"ENSG00000023909"	102.752359382443	1.4743260404437	0.390022144551095	3.78010854265879	0.000156760004632769	0.00181073153224361	"TRUE"
"ENSG00000024048"	2324.88984372972	-1.06156889311705	0.160584738863639	-6.61064619607775	3.82646013431533e-11	4.39323849112298e-09	"TRUE"
"ENSG00000026508"	6532.41541945426	2.04271889272247	0.323106147386501	6.32212945883373	2.57983097633685e-10	2.13203712619297e-08	"TRUE"
"ENSG00000026652"	74.5941083032843	1.63849154193983	0.338282251773075	4.84356342477866	1.27530986253221e-06	3.25137493566893e-05	"TRUE"
"ENSG00000028137"	5416.14111814209	1.0299112774046	0.197901408808822	5.20416344483692	1.94872440607294e-07	6.34987207898852e-06	"TRUE"
"ENSG00000031081"	21.2809764711635	2.06392473358697	0.389551713110313	5.29820474182464	1.16946792713323e-07	4.11647897725682e-06	"TRUE"
"ENSG00000034152"	3199.55449570028	2.20428071038391	0.25916142688867	8.50543515231847	1.80915722297133e-17	2.18209204175817e-14	"TRUE"
"ENSG00000034533"	14.3891601789166	-1.5708751608	0.292054689285155	-5.37870206653738	7.50247446490744e-08	2.87768678634914e-06	"TRUE"
"ENSG00000042832"	172.655111581541	2.1154753761599	0.337026036465757	6.27689005378918	3.45412151684496e-10	2.72420161554533e-08	"TRUE"
"ENSG00000047188"	258.502161460248	1.04094481511279	0.256664690986903	4.05566036804771	4.99928579097547e-05	0.0007056335150678	"TRUE"
"ENSG00000049167"	32.8685218866925	1.75726983814471	0.451301833627408	3.89377952227755	9.86943582636688e-05	0.00124144440207102	"TRUE"
"ENSG00000051128"	16.649023873737	1.37506028464599	0.422983726330433	3.2508586005784	0.00115057065838184	0.00912931922678025	"TRUE"
"ENSG00000052795"	54.5146107296544	1.34234008911307	0.255613687437444	5.25144057256942	1.5091422500233e-07	5.07208182144371e-06	"TRUE"
"ENSG00000053524"	17.2430623114938	1.79511816978165	0.654932635359827	2.74092032197386	0.00612673627946096	0.0352539783157547	"TRUE"
"ENSG00000054983"	836.757126698837	1.27415137584601	0.267614377430806	4.76114694613316	1.92495817579099e-06	4.62503644849108e-05	"TRUE"
"ENSG00000055118"	48.2814732536025	1.94705693579821	0.512369517103908	3.80010299364345	0.0001446359622618	0.00169027243153624	"TRUE"
"ENSG00000055163"	2183.26340994061	1.4423410916973	0.192472136867521	7.49376567004121	6.69251644272801e-14	1.87686686534013e-11	"TRUE"
"ENSG00000055483"	849.591194894197	1.14346295696018	0.276440230200304	4.13638404269756	3.52821517415229e-05	0.000523025797090322	"TRUE"
"ENSG00000056558"	1098.14981564482	3.31709969080939	0.399789620745198	8.29711307818948	1.0667183487615e-16	8.29470490557411e-14	"TRUE"
"ENSG00000056972"	32.7868350632521	1.00485794745829	0.324299159998236	3.09855242136227	0.00194468563111663	0.0139956824112377	"TRUE"
"ENSG00000057704"	2119.41805861657	1.79770449389425	0.235485182308091	7.63404506506175	2.27500332181225e-14	7.94254731147799e-12	"TRUE"
"ENSG00000059728"	10962.6568910867	1.00993154461688	0.212266157590932	4.75785474273843	1.95661209293211e-06	4.68152659907501e-05	"TRUE"
"ENSG00000060558"	112.800411979261	1.89128154521318	0.27652768568524	6.83939309919928	7.95293788162315e-12	1.11517137984367e-09	"TRUE"
"ENSG00000060971"	620.583234177154	1.19581779785946	0.239996007918085	4.98265703764378	6.27170544239239e-07	1.74172183446439e-05	"TRUE"
"ENSG00000060982"	30.7597637084772	3.53127589285373	0.492158615595527	7.17507685724608	7.22665763615942e-13	1.45442861390328e-10	"TRUE"
"ENSG00000062582"	5.3813468283756	2.6551514612375	0.891548040166005	2.97813616498233	0.00290007115047296	0.0194022358901607	"TRUE"
"ENSG00000064270"	243.137041872011	3.8822795197952	0.443789114007281	8.7480278295684	2.1711372881477e-18	4.12684950981586e-15	"TRUE"
"ENSG00000064651"	27.773849386974	1.0857404416645	0.236322222400921	4.59432223780691	4.34158043295709e-06	9.27233663752771e-05	"TRUE"
"ENSG00000064886"	4.20200169808809	1.49968831894199	0.574665741052018	2.60967065166712	0.00906294300869186	0.0479371080045887	"TRUE"
"ENSG00000065029"	44.0727213712833	1.03490619875675	0.252609732609657	4.09685797956143	4.1879565350728e-05	0.000604624117329202	"TRUE"
"ENSG00000065150"	44.0873394745246	1.35326569476735	0.312798951653071	4.326311477758	1.51626974194729e-05	0.00026523881661197	"TRUE"
"ENSG00000065665"	132.411009922963	-1.19455590880202	0.22721282265963	-5.25743175415538	1.46081077286746e-07	4.96820872593313e-06	"TRUE"
"ENSG00000065809"	1617.84417527317	1.61199280242012	0.274555196883783	5.87128861779463	4.32420698597201e-09	2.36339325587933e-07	"TRUE"
"ENSG00000065989"	89.3379532125442	2.2897859583056	0.362377105451543	6.31879311319183	2.63613907066771e-10	2.15772397521112e-08	"TRUE"
"ENSG00000066855"	12.8536531818632	1.50812256527689	0.440007466249341	3.42749312445138	0.000609181729872159	0.00544476063371109	"TRUE"
"ENSG00000067225"	367.388002082132	1.50897606327217	0.191178759286962	7.89301106932686	2.94981440163027e-15	1.36112955454316e-12	"TRUE"
"ENSG00000067334"	834.181269545121	1.07279337235282	0.24456767802631	4.38648876666936	1.15195111271355e-05	0.000212353746607658	"TRUE"
"ENSG00000067369"	712.259469080331	1.44085930181019	0.207756524763825	6.93532635592622	4.05284436371469e-12	6.7174743220999e-10	"TRUE"
"ENSG00000069712"	8.95792114151838	-1.32534746349228	0.377042619152936	-3.51511313620143	0.000439566682013915	0.00419567190849347	"TRUE"
"ENSG00000069849"	140.916754592597	1.12018388633071	0.290052105426873	3.8620091541212	0.000112458351617879	0.00137514297435815	"TRUE"
"ENSG00000069943"	357.830301786621	-1.19475837935702	0.288568093975675	-4.14029965300923	3.46852430894534e-05	0.000516864506560348	"TRUE"
"ENSG00000069956"	486.041130756362	2.45969993944838	0.339095691188542	7.25370449511479	4.05524358388574e-13	8.56457431969548e-11	"TRUE"
"ENSG00000069966"	14.4785976954135	1.03438144037486	0.33181823764195	3.11731340545246	0.00182507439126894	0.0133084175666828	"TRUE"
"ENSG00000070961"	6289.0461056681	1.91394429576151	0.292228561339578	6.54947718658292	5.77388602015813e-11	6.09715235474352e-09	"TRUE"
"ENSG00000074181"	2.94133848212297	3.20784811531632	0.813050723590063	3.94544647983574	7.96514221507651e-05	0.00104895833620719	"TRUE"
"ENSG00000074660"	1325.36474572014	1.59612273569915	0.231167818172472	6.90460613556642	5.03429067618995e-12	7.97422320347977e-10	"TRUE"
