"PMN_1h_vs_PMN_0h"	"130+PMN_1h_vs_130+PMN_0h"	"3X130+PMN_1h_vs_3X130+PMN_0h"	"H041+PMN_1h_vs_H041+PMN_0h"
"ENSG00000002919"	1	1	0	0
"ENSG00000004799"	1	1	1	1
"ENSG00000006555"	0	1	0	1
"ENSG00000007376"	0	1	0	0
"ENSG00000008128"	1	0	0	0
"ENSG00000010165"	0	1	0	0
"ENSG00000011523"	0	0	1	1
"ENSG00000013523"	0	0	0	1
"ENSG00000014138"	0	1	0	0
"ENSG00000014919"	0	1	0	1
"ENSG00000015532"	0	1	0	0
"ENSG00000016864"	1	1	0	1
"ENSG00000024048"	1	1	0	0
"ENSG00000034533"	1	0	0	1
"ENSG00000038002"	0	0	0	1
"ENSG00000047932"	0	0	1	0
"ENSG00000054148"	0	0	0	1
"ENSG00000058729"	0	0	1	1
"ENSG00000063176"	0	1	0	0
"ENSG00000065665"	1	0	0	0
"ENSG00000068120"	0	1	0	0
"ENSG00000068489"	0	1	0	0
"ENSG00000069712"	1	1	0	0
"ENSG00000069943"	1	0	0	0
"ENSG00000073060"	0	1	0	0
"ENSG00000073605"	0	1	0	0
"ENSG00000075826"	0	1	0	0
"ENSG00000076650"	0	1	0	0
"ENSG00000077380"	0	0	0	1
"ENSG00000080947"	0	1	0	0
"ENSG00000080986"	1	1	0	0
"ENSG00000083457"	0	1	0	0
"ENSG00000083812"	1	1	0	1
"ENSG00000083814"	0	1	0	0
"ENSG00000083838"	1	1	0	0
"ENSG00000087077"	1	0	0	0
"ENSG00000088682"	0	1	0	0
"ENSG00000089127"	0	1	0	0
"ENSG00000089335"	0	0	0	1
"ENSG00000090975"	0	1	0	0
"ENSG00000091181"	0	1	1	1
"ENSG00000091947"	0	0	1	0
"ENSG00000093134"	0	1	1	1
"ENSG00000095002"	0	1	0	0
"ENSG00000095585"	0	1	0	0
"ENSG00000099385"	0	0	0	1
"ENSG00000099985"	1	0	0	0
"ENSG00000099994"	1	1	0	0
"ENSG00000100058"	0	0	0	1
"ENSG00000100211"	1	0	0	0
"ENSG00000100218"	1	0	0	0
"ENSG00000100416"	1	1	0	1
"ENSG00000100519"	0	0	1	0
"ENSG00000100596"	0	1	0	0
"ENSG00000100711"	0	1	0	0
"ENSG00000100714"	0	0	0	1
"ENSG00000101247"	0	1	0	0
"ENSG00000101452"	0	0	0	1
"ENSG00000101473"	0	0	1	0
"ENSG00000101888"	0	0	0	1
"ENSG00000101935"	0	1	0	0
"ENSG00000102781"	0	0	1	0
"ENSG00000102796"	1	0	0	0
"ENSG00000102886"	0	1	1	0
"ENSG00000103150"	0	1	0	0
"ENSG00000103174"	0	1	0	0
"ENSG00000103245"	1	1	0	0
"ENSG00000103343"	0	1	0	0
"ENSG00000103423"	0	1	0	0
"ENSG00000103707"	1	1	1	1
"ENSG00000104129"	0	1	0	0
"ENSG00000104361"	0	0	1	0
"ENSG00000104880"	1	0	0	0
"ENSG00000104921"	0	1	0	0
"ENSG00000104973"	1	0	0	0
"ENSG00000105204"	0	1	0	0
"ENSG00000105519"	0	1	0	0
"ENSG00000105617"	0	0	0	1
"ENSG00000105708"	0	0	0	1
"ENSG00000105732"	0	1	0	0
"ENSG00000105829"	1	0	0	0
"ENSG00000105879"	0	1	0	0
"ENSG00000106077"	1	1	0	0
"ENSG00000106086"	0	0	0	1
"ENSG00000106560"	1	1	0	0
"ENSG00000107551"	0	1	0	0
"ENSG00000108187"	0	1	0	0
"ENSG00000108590"	0	1	0	0
"ENSG00000108771"	0	1	0	0
"ENSG00000108826"	0	1	0	0
"ENSG00000108984"	0	1	0	0
"ENSG00000109083"	1	1	1	1
"ENSG00000110200"	1	0	0	0
"ENSG00000111058"	1	0	0	0
"ENSG00000111276"	0	1	1	0
"ENSG00000111644"	0	0	1	0
"ENSG00000111653"	0	0	0	1
"ENSG00000111671"	0	1	0	0
"ENSG00000111846"	1	0	0	1
"ENSG00000111850"	1	0	1	0
"ENSG00000112118"	0	1	0	1
"ENSG00000112234"	1	1	0	0
"ENSG00000112592"	0	1	0	1
"ENSG00000112599"	0	1	0	0
"ENSG00000112983"	1	1	0	1
"ENSG00000113595"	0	1	1	1
"ENSG00000113597"	1	0	0	0
"ENSG00000113658"	0	0	1	0
"ENSG00000113749"	1	0	0	0
"ENSG00000114268"	1	1	0	0
"ENSG00000114346"	0	1	0	0
"ENSG00000114735"	0	0	0	1
"ENSG00000114988"	1	0	0	0
"ENSG00000115129"	0	0	0	1
"ENSG00000115221"	1	0	0	0
"ENSG00000115364"	0	1	0	0
"ENSG00000115514"	0	0	1	0
"ENSG00000116151"	0	0	1	0
"ENSG00000116205"	1	1	1	1
"ENSG00000116212"	0	0	0	1
"ENSG00000116663"	0	1	0	0
"ENSG00000116863"	0	1	1	0
"ENSG00000117010"	1	0	0	0
"ENSG00000117425"	0	0	1	0
"ENSG00000117751"	0	0	1	0
"ENSG00000118412"	0	0	1	0
"ENSG00000118514"	0	0	1	0
"ENSG00000119660"	1	0	0	0
