"Time"	"130+PMN_1h_vs_PMN_1h"	"3X130+PMN_1h_vs_PMN_1h"	"H041+PMN_1h_vs_PMN_1h"
"ENSG00000004799"	1	0	0	0
"ENSG00000004864"	1	0	0	0
"ENSG00000008118"	1	0	0	0
"ENSG00000008256"	1	0	0	0
"ENSG00000013297"	1	0	1	0
"ENSG00000013619"	1	0	0	0
"ENSG00000016391"	1	0	0	0
"ENSG00000019144"	1	0	0	0
"ENSG00000023445"	1	0	0	0
"ENSG00000026508"	1	1	1	0
"ENSG00000026652"	1	0	0	0
"ENSG00000034152"	1	0	0	0
"ENSG00000051128"	1	0	0	0
"ENSG00000053524"	1	1	1	1
"ENSG00000055483"	1	1	1	1
"ENSG00000056558"	1	1	1	1
"ENSG00000057704"	1	1	1	1
"ENSG00000060558"	1	0	0	0
"ENSG00000060982"	1	1	1	1
"ENSG00000062582"	1	0	0	0
"ENSG00000064270"	1	0	0	0
"ENSG00000065150"	1	0	0	0
"ENSG00000065809"	1	0	0	0
"ENSG00000065989"	1	0	0	0
"ENSG00000067225"	1	1	1	1
"ENSG00000067334"	1	0	0	0
"ENSG00000069956"	1	0	1	1
"ENSG00000070961"	1	0	0	0
"ENSG00000074660"	1	0	0	0
"ENSG00000076382"	1	1	1	1
"ENSG00000077150"	1	0	0	0
"ENSG00000078269"	1	0	0	0
"ENSG00000078401"	1	1	1	1
"ENSG00000081041"	1	1	1	1
"ENSG00000084234"	1	0	0	0
"ENSG00000085117"	1	1	1	1
"ENSG00000089351"	1	0	0	0
"ENSG00000089558"	1	0	0	0
"ENSG00000090020"	1	0	0	0
"ENSG00000091640"	1	0	0	0
"ENSG00000092295"	1	0	0	0
"ENSG00000095951"	1	0	0	0
"ENSG00000096070"	1	1	1	1
"ENSG00000096384"	1	1	0	0
"ENSG00000099860"	1	0	0	0
"ENSG00000099985"	1	1	1	1
"ENSG00000100024"	1	0	0	0
"ENSG00000100100"	1	0	0	0
"ENSG00000100219"	1	0	0	0
"ENSG00000100221"	1	0	0	0
"ENSG00000100906"	1	1	1	0
"ENSG00000101187"	1	0	0	0
"ENSG00000101255"	1	0	0	1
"ENSG00000101384"	1	1	1	1
"ENSG00000101421"	1	0	0	0
"ENSG00000101665"	1	0	0	0
"ENSG00000102265"	1	0	0	0
"ENSG00000102755"	1	0	0	0
"ENSG00000102794"	1	0	0	0
"ENSG00000102921"	1	1	1	1
"ENSG00000103257"	1	0	0	0
"ENSG00000103522"	1	0	0	0
"ENSG00000103569"	1	0	1	0
"ENSG00000103707"	1	0	0	0
"ENSG00000103966"	1	0	0	0
"ENSG00000104064"	1	0	0	0
"ENSG00000104320"	1	0	0	0
"ENSG00000104885"	1	0	0	0
"ENSG00000105281"	1	1	1	1
"ENSG00000105767"	1	0	0	0
"ENSG00000105849"	1	0	0	0
"ENSG00000106608"	1	0	0	0
"ENSG00000106952"	1	1	1	1
"ENSG00000107263"	1	0	0	0
"ENSG00000107338"	1	0	0	0
"ENSG00000107554"	1	1	0	1
"ENSG00000107566"	1	0	0	0
"ENSG00000107968"	1	1	0	0
"ENSG00000108179"	1	1	1	1
"ENSG00000108342"	1	0	0	0
"ENSG00000108515"	1	0	0	0
"ENSG00000108821"	1	0	0	0
"ENSG00000108932"	1	1	0	1
"ENSG00000109083"	1	0	0	0
"ENSG00000109320"	1	1	1	0
"ENSG00000110047"	1	1	0	0
"ENSG00000110911"	1	0	0	0
"ENSG00000110944"	1	0	0	0
"ENSG00000111266"	1	0	0	0
"ENSG00000111424"	1	1	1	1
"ENSG00000111490"	1	0	0	0
"ENSG00000111596"	1	0	0	0
"ENSG00000111817"	1	0	1	0
"ENSG00000112033"	1	0	0	0
"ENSG00000112078"	1	1	1	1
"ENSG00000112715"	1	1	1	1
"ENSG00000113552"	1	0	1	1
"ENSG00000113615"	1	0	0	0
"ENSG00000113758"	1	0	0	0
"ENSG00000114315"	1	0	1	0
"ENSG00000114541"	1	0	0	0
"ENSG00000115008"	1	1	1	1
"ENSG00000115009"	1	1	1	1
"ENSG00000115594"	1	0	0	0
"ENSG00000115598"	1	0	0	0
"ENSG00000115738"	1	0	0	1
"ENSG00000115756"	1	0	0	0
"ENSG00000116205"	1	0	0	0
"ENSG00000116260"	1	0	0	0
"ENSG00000116514"	1	0	0	0
"ENSG00000116584"	1	1	1	0
"ENSG00000116711"	1	1	0	0
"ENSG00000117009"	1	0	0	0
"ENSG00000117298"	1	0	0	0
"ENSG00000117394"	1	0	0	0
"ENSG00000117525"	1	1	1	1
"ENSG00000117868"	1	0	0	0
"ENSG00000118503"	1	1	1	0
"ENSG00000118689"	1	0	0	0
"ENSG00000118707"	1	1	0	0
"ENSG00000118985"	1	0	0	0
"ENSG00000119403"	1	0	0	0
"ENSG00000119508"	1	1	1	1
"ENSG00000119737"	1	0	0	0
"ENSG00000120051"	1	0	0	0
"ENSG00000120437"	1	0	0	0
"ENSG00000120738"	1	0	0	0
"ENSG00000121797"	1	1	1	1
"ENSG00000121807"	1	0	0	0
"ENSG00000121858"	1	0	0	0
"ENSG00000121900"	1	0	0	0
"ENSG00000122861"	1	1	1	0
"ENSG00000123405"	1	1	0	0
"ENSG00000123610"	1	0	0	0
"ENSG00000123685"	1	0	0	0
"ENSG00000123908"	1	0	0	0
"ENSG00000124102"	1	1	1	1
"ENSG00000124103"	1	0	0	0
"ENSG00000124120"	1	0	0	1
"ENSG00000124225"	1	0	0	0
"ENSG00000124466"	1	1	0	0
"ENSG00000124762"	1	0	0	0
"ENSG00000124788"	1	1	1	1
"ENSG00000124882"	1	1	1	1
"ENSG00000125430"	1	0	0	0
"ENSG00000125462"	1	0	0	0
"ENSG00000125538"	1	1	1	1
"ENSG00000125633"	1	0	0	0
"ENSG00000125730"	1	0	0	0
"ENSG00000125731"	1	0	0	0
"ENSG00000125733"	1	0	0	0
"ENSG00000125735"	1	0	0	0
"ENSG00000125746"	1	0	1	1
"ENSG00000126368"	1	0	1	1
"ENSG00000126803"	1	0	0	0
"ENSG00000127947"	1	1	0	1
"ENSG00000128268"	1	0	0	0
"ENSG00000128271"	1	1	0	0
"ENSG00000128342"	1	1	1	1
"ENSG00000128872"	1	1	0	1
"ENSG00000129226"	1	0	0	0
"ENSG00000129749"	1	0	1	0
"ENSG00000130052"	1	0	0	0
"ENSG00000130164"	1	1	1	0
"ENSG00000130340"	1	0	0	0
"ENSG00000130449"	1	0	0	0
"ENSG00000130830"	1	1	0	0
"ENSG00000130844"	1	1	0	0
"ENSG00000131323"	1	0	0	0
"ENSG00000131370"	1	0	0	0
