"PMN_1h_vs_PMN_0h"	"130+PMN_1h_vs_130+PMN_0h"	"3X130+PMN_1h_vs_3X130+PMN_0h"	"H041+PMN_1h_vs_H041+PMN_0h"
"ENSG00000001617"	1	0	1	1
"ENSG00000002919"	1	1	0	0
"ENSG00000004455"	1	1	0	0
"ENSG00000004799"	1	1	1	1
"ENSG00000004864"	1	1	1	1
"ENSG00000005379"	0	0	0	1
"ENSG00000006327"	1	1	0	1
"ENSG00000006555"	0	1	0	1
"ENSG00000006831"	1	1	0	0
"ENSG00000007264"	0	0	0	1
"ENSG00000007314"	0	1	0	0
"ENSG00000007350"	0	0	1	0
"ENSG00000007376"	0	1	0	0
"ENSG00000008056"	1	1	0	0
"ENSG00000008118"	1	1	1	1
"ENSG00000008128"	1	0	0	0
"ENSG00000008256"	1	1	1	1
"ENSG00000008294"	0	1	1	1
"ENSG00000008394"	1	0	0	0
"ENSG00000008405"	1	1	0	0
"ENSG00000008441"	1	0	0	0
"ENSG00000008952"	1	0	0	0
"ENSG00000010165"	0	1	0	0
"ENSG00000010310"	0	1	1	1
"ENSG00000011422"	0	1	1	1
"ENSG00000011523"	0	0	1	1
"ENSG00000013297"	1	1	1	1
"ENSG00000013523"	0	0	0	1
"ENSG00000013563"	1	0	0	0
"ENSG00000013619"	1	1	1	1
"ENSG00000013725"	1	0	0	0
"ENSG00000014138"	0	1	0	0
"ENSG00000014919"	0	1	0	1
"ENSG00000015475"	1	0	1	0
"ENSG00000015532"	0	1	0	0
"ENSG00000016391"	1	1	1	1
"ENSG00000016864"	1	1	0	1
"ENSG00000018280"	0	1	0	0
"ENSG00000019144"	1	1	1	1
"ENSG00000020633"	1	0	0	0
"ENSG00000021355"	0	1	0	0
"ENSG00000023445"	1	1	1	1
"ENSG00000023909"	1	1	1	0
"ENSG00000024048"	1	1	0	0
"ENSG00000026025"	0	1	0	1
"ENSG00000026508"	1	1	1	1
"ENSG00000026652"	1	1	1	1
"ENSG00000026751"	0	1	1	1
"ENSG00000027075"	0	1	1	1
"ENSG00000028137"	1	0	0	0
"ENSG00000031081"	1	0	0	0
"ENSG00000034152"	1	1	1	1
"ENSG00000034533"	1	0	0	1
"ENSG00000034713"	0	1	1	1
"ENSG00000035681"	0	1	1	1
"ENSG00000038002"	0	0	0	1
"ENSG00000039319"	0	1	1	1
"ENSG00000040199"	0	0	0	1
"ENSG00000042832"	1	0	0	1
"ENSG00000043462"	0	1	1	0
"ENSG00000047188"	1	1	0	0
"ENSG00000047932"	0	0	1	0
"ENSG00000049167"	1	0	0	0
"ENSG00000050327"	0	1	1	0
"ENSG00000051128"	1	1	1	1
"ENSG00000052344"	0	1	0	0
"ENSG00000052795"	1	0	1	0
"ENSG00000053501"	0	1	1	1
"ENSG00000053524"	1	1	1	1
"ENSG00000054148"	0	0	0	1
"ENSG00000054523"	0	1	0	0
"ENSG00000054983"	1	1	0	0
"ENSG00000055118"	1	0	0	0
"ENSG00000055163"	1	1	1	0
"ENSG00000055483"	1	1	1	1
"ENSG00000056558"	1	1	1	1
